variable,group,value
1935,12,-0.183
1936,1,-0.3
1936,2,-0.334
1936,3,-0.307
1936,4,-0.173
1936,5,-0.166
1936,6,-0.158
1936,7,-0.078
1936,8,-0.118
1936,9,-0.128
1936,10,0.044
1936,11,-0.07
1936,12,0.039
1937,1,-0.051
1937,2,0.078
1937,3,-0.143
1937,4,-0.087
1937,5,-0.037
1937,6,0.017
1937,7,0.019
1937,8,0.041
1937,9,0.12
1937,10,0.149
1937,11,0.083
1937,12,-0.012
1938,1,0.088
1938,2,0.083
1938,3,0.088
1938,4,0.064
1938,5,-0.092
1938,6,-0.132
1938,7,-0.071
1938,8,-0.02
1938,9,0.045
1938,10,0.218
1938,11,0.071
1938,12,-0.105
1939,1,-0.027
1939,2,-0.084
1939,3,-0.197
1939,4,-0.003
1939,5,0.078
1939,6,0.019
1939,7,-0.044
1939,8,-0.04
1939,9,-0.037
1939,10,-0.067
1939,11,-0.055
1939,12,0.435
1940,1,0.074
1940,2,0.115
1940,3,0.084
1940,4,0.137
1940,5,0.042
1940,6,0.023
1940,7,0.127
1940,8,0.062
1940,9,0.074
1940,10,0.055
1940,11,-0.05
1940,12,0.222
1941,1,-0.001
1941,2,0.134
1941,3,-0.054
1941,4,-0.017
1941,5,0.023
1941,6,0.053
1941,7,0.121
1941,8,-0.012
1941,9,-0.204
1941,10,0.223
1941,11,-0.02
1941,12,0.202
1942,1,0.351
1942,2,0.01
1942,3,0.086
1942,4,0.017
1942,5,0.08
1942,6,0.038
1942,7,-0.026
1942,8,-0.073
1942,9,-0.072
1942,10,0.024
1942,11,0.014
1942,12,0.114
1943,1,-0.038
1943,2,0.128
1943,3,-0.039
1943,4,0.138
1943,5,0.088
1943,6,-0.028
1943,7,0.08
1943,8,0.107
1943,9,0.024
1943,10,0.313
1943,11,0.161
1943,12,0.272
1944,1,0.389
1944,2,0.247
1944,3,0.262
1944,4,0.177
1944,5,0.173
1944,6,0.114
1944,7,0.179
1944,8,0.227
1944,9,0.189
1944,10,0.287
1944,11,0.074
1944,12,0.135
1945,1,0.112
1945,2,-0.012
1945,3,0.088
1945,4,0.227
1945,5,0.018
1945,6,0.007
1945,7,-0.009
1945,8,0.227
1945,9,0.105
1945,10,0.222
1945,11,0.01
1945,12,-0.056
1946,1,0.06
1946,2,-0.044
1946,3,0.036
1946,4,0.08
1946,5,-0.058
1946,6,-0.197
1946,7,-0.074
1946,8,-0.166
1946,9,-0.128
1946,10,-0.009
1946,11,-0.067
1946,12,-0.248
1947,1,0.007
1947,2,0.028
1947,3,0.132
1947,4,0.084
1947,5,-0.05
1947,6,-0.055
1947,7,-0.048
1947,8,-0.115
1947,9,-0.11
1947,10,0.125
1947,11,0.071
1947,12,-0.055
1948,1,0.082
1948,2,-0.161
1948,3,-0.214
1948,4,-0.084
1948,5,0.051
1948,6,0.031
1948,7,-0.107
1948,8,-0.059
1948,9,-0.153
1948,10,-0.027
1948,11,-0.19
1948,12,-0.29
1949,1,0.09
1949,2,-0.194
1949,3,-0.075
1949,4,-0.093
1949,5,-0.079
1949,6,-0.246
1949,7,-0.175
